lowerIncisor_50Hz_X,lowerIncisor_50Hz_Y,lowerIncisor_50Hz_Z,lowerJawAnt_50Hz_X,lowerJawAnt_50Hz_Y,lowerJawAnt_50Hz_Z,LowerRtCanine_50Hz_X,LowerRtCanine_50Hz_Y,LowerRtCanine_50Hz_Z,LowerLeftJaw_50Hz_X,LowerLeftJaw_50Hz_Y,LowerLeftJaw_50Hz_Z,LowerLeftMolar_50Hz_X,LowerLeftMolar_50Hz_Y,LowerLeftMolar_50Hz_Z,SkullIncisor_50Hz_X,SkullIncisor_50Hz_Y,SkullIncisor_50Hz_Z,SkullLeftNasal_50Hz_X,SkullLeftNasal_50Hz_Y,SkullLeftNasal_50Hz_Z,SkullRtNasal_50Hz_X,SkullRtNasal_50Hz_Y,SkullRtNasal_50Hz_Z,SkullLeftCanine_50Hz_X,SkullLeftCanine_50Hz_Y,SkullLeftCanine_50Hz_Z,SkullRtCanine_50Hz_X,SkullRtCanine_50Hz_Y,SkullRtCanine_50Hz_Z
12.0205750524,6.47213732806,5.67324379723,12.3138761757,7.84784969306,7.26843834933,12.0893980529,7.16468181352,9.65467359364,15.8087804557,8.51280643065,10.0799245252,15.2185261628,7.28266460771,9.88662391396,13.0355048094,5.62478829712,4.57984755292,13.9070094146,3.64950311755,8.43918220445,12.2715154755,3.9815491769,9.2753474,15.3217501104,6.78468237812,9.7633185403,11.9471015376,7.05982594263,10.3270793034
12.0330526373,6.44241132797,5.68267913949,12.318836343,7.82237820214,7.27583801661,12.0962745558,7.14039587157,9.65946312459,15.8099312166,8.49481343561,10.087813253,15.229174055,7.26720781117,9.89396027545,13.0489414588,5.61143174936,4.57995610305,13.9210430772,3.63902137518,8.4417175193,12.2787091326,3.96813660195,9.28075352074,15.3295278109,6.77217384015,9.76469694644,11.9531357827,7.04221285773,10.3313911301
12.0422398953,6.41860239299,5.68906002027,12.3234840514,7.80136240352,7.28310177063,12.1045588867,7.12022586603,9.66263804529,15.8101996555,8.48032927173,10.0968675443,15.2383409728,7.25510365234,9.90013402944,13.0582409441,5.6009395891,4.58366406572,13.9409250687,3.62827979369,8.44287687546,12.2844677727,3.95810311525,9.28531111855,15.3324520324,6.7619630027,9.77235759482,11.9546566191,7.02684830879,10.3380878298
12.0499315437,6.40095852772,5.69358897245,12.3294851457,7.78471099435,7.28966813905,12.1147768529,7.10447747302,9.66857189558,15.8134770424,8.47009127552,10.1060840784,15.2442296321,7.2427601991,9.90705246006,13.0641629794,5.59119705617,4.590351741,13.9620646566,3.61756984694,8.44555620533,12.2940313376,3.94784542909,9.28638565462,15.3333371395,6.75521532958,9.78290981955,11.9587483513,7.01360040005,10.3444133557
12.059412552,6.38774856581,5.69913368436,12.3383055047,7.77140389078,7.29518369236,12.1252370286,7.09266908681,9.67796511561,15.8190387208,8.46468107126,10.1140997071,15.249492343,7.2291889567,9.91603881604,13.0727975538,5.58184060947,4.59681945739,13.9790722356,3.61016976494,8.45109034428,12.3106886536,3.93540232614,9.28585212523,15.3376011217,6.75156795145,9.79154803212,11.9703556801,7.00060710275,10.3479684495
12.0715600429,6.37689090473,5.70738099581,12.3488975229,7.7595168376,7.30098238194,12.1331556961,7.08377437911,9.68783798565,15.8240232628,8.46288526238,10.1206351489,15.2571914567,7.21731374456,9.92632672468,13.0897148641,5.57495463958,4.60108067567,13.9904711376,3.60805120755,8.45778083348,12.3315892427,3.92357022549,9.28833274191,15.3470873706,6.75041774672,9.79801784606,11.9850650648,6.98871434316,10.3504561819
12.0840947375,6.36793315773,5.71701655942,12.3575176884,7.74878955068,7.30890740099,12.1369940089,7.07691261057,9.69556185962,15.827543065,8.46157857055,10.1268534797,15.2664002428,7.21070690889,9.93520295873,13.1136539823,5.57206418768,4.60373247058,14.0009985315,3.60845177669,8.46290560604,12.3523670686,3.91549024743,9.29461761185,15.3597528067,6.75032169281,9.80524138992,11.9963859375,6.98033060839,10.3549898944
12.0951145601,6.36200823978,5.72548042567,12.3623076148,7.74158308727,7.31869905731,12.1387954263,7.07119070697,9.70157069867,15.8315982612,8.45854493045,10.133922041,15.2744393897,7.20970896941,9.94066327442,13.1380218821,5.57211425864,4.60595962399,14.0176536766,3.60652236177,8.46534139652,12.3729101657,3.91041714284,9.29989354495,15.373061636,6.74898978522,9.81352706568,12.0050554206,6.97531141201,10.3609946527
12.1055492733,6.35977396703,5.73167374566,12.3664750557,7.74011343344,7.32778881286,12.14407549,7.06525191866,9.70737624375,15.8385137402,8.45511558396,10.1416234758,15.2820129885,7.21144421322,9.9437672975,13.158681256,5.57334659406,4.60809431171,14.0423659962,3.60084063975,8.46600675928,12.3951392994,3.90599193489,9.29959892526,15.3858765801,6.74588379109,9.8199340987,12.0166334566,6.97100204274,10.3648122238
12.1163881212,6.35999995934,5.73614604182,12.3741928345,7.74333960524,7.33386448791,12.1568344195,7.05826264352,9.71245731046,15.8478189805,8.45452207704,10.1492885597,15.2919980956,7.212990018,9.9473992037,13.1779266494,5.57559286487,4.61022001808,14.0701634393,3.59483709867,8.46642717507,12.4178010863,3.90211109944,9.29465195497,15.3986818166,6.74365682085,9.82334313204,12.0331910138,6.96602077725,10.3648474849
12.1255539074,6.36029478606,5.73941346778,12.3844246687,7.74735586015,7.33687117872,12.1734254644,7.05147116415,9.7150498916,15.8558136686,8.45744650325,10.157258804,15.301936414,7.21340204793,9.95283076853,13.2003841793,5.57895081765,4.61259898492,14.0959635452,3.59272140818,8.46708018077,12.4378902607,3.8997468358,9.28947401874,15.4136366315,6.74486507925,9.82632434958,12.0519118608,6.96151207714,10.3632233774
12.1300293378,6.35904794392,5.74135468918,12.3913041786,7.74870152306,7.33840182927,12.183980287,7.04738837273,9.71548561425,15.8586501867,8.46079804763,10.1655546353,15.3020288036,7.21288108538,9.95863626403,13.2274178736,5.58144896774,4.61504380182,14.120385016,3.59511651823,8.4670962035,12.4559480609,3.8977694151,9.28679440891,15.4334150448,6.74814350418,9.83068911274,12.0704260058,6.95824339235,10.3622074879
